benchmark_name,benchmark_category,dataset,score,ci,time_taken
WadaSNR,3,tacotron_wg,65.46286184216679,12.719255137406,2.7131471633911133
WadaSNR,3,tacotron_wn,66.33958341973101,12.890675927679698,2.654928207397461
WeSpeaker,4,fastpitch_wg,67.05659570867954,12.49940442590644,35.31813287734985
WeSpeaker,4,fastpitch_wn,69.28803542269156,13.33674982095879,34.1499445438385
WeSpeaker,4,natural16,98.73914632918772,20.468204589438724,36.49061918258667
WeSpeaker,4,tacotron_wg,57.35060208008592,9.40288715141122,31.678531408309937
WeSpeaker,4,tacotron_wn,58.090365478038045,9.824513026643626,31.806580543518063
Allosaurus,5,fastpitch_wg,96.67237123770639,6.317895228090081,53.91447925567627
Allosaurus,5,fastpitch_wn,97.06122198560888,6.328366413274567,53.34991884231568
Allosaurus,5,natural16,99.87074175327504,6.6367512847467,56.13046288490296
Allosaurus,5,tacotron_wg,95.8703009138414,5.874469837970717,51.21658110618591
Allosaurus,5,tacotron_wn,95.40260951197624,5.836128541429139,50.14393973350525
VoiceFixer,5,fastpitch_wg,94.06141851761117,4.630091150284346,61.51804709434509
VoiceFixer,5,fastpitch_wn,94.22607859471104,4.550548902326682,59.15976691246033
VoiceFixer,5,natural16,99.30157355218945,4.720182924138093,59.28502225875855
VoiceFixer,5,tacotron_wg,90.39839476016527,4.128327923483424,59.10456418991089
VoiceFixer,5,tacotron_wn,90.52244208333363,4.050817263031054,59.84484910964966
Wav2Vec2 WER,6,fastpitch_wg,93.59928095055852,18.377798983531783,23.53905200958252
Wav2Vec2 WER,6,fastpitch_wn,93.2372697992931,18.27078169630274,22.91360235214233
Wav2Vec2 WER,6,natural16,100.0,19.941056264059323,24.15864658355713
Wav2Vec2 WER,6,tacotron_wg,94.19382186691684,18.492390847634372,21.0399136543274
Wav2Vec2 WER,6,tacotron_wn,93.78990845072816,18.413138248861273,20.700645446777344
Whisper WER,6,fastpitch_wg,92.43923067146275,18.976830843803732,99.95813369750977
Whisper WER,6,fastpitch_wn,92.01720520099154,18.83355574767168,94.2483365535736
Whisper WER,6,natural16,97.99617948255421,20.412639710959287,105.97520136833192
Whisper WER,6,tacotron_wg,87.36761998487799,17.768076142324514,93.50695300102234
Whisper WER,6,tacotron_wn,81.03481910552598,16.302909880319454,89.40778589248657
Hubert,1,C0,83.83353996980038,11.00785566583235,229.35129380226132
Hubert,1,K0,92.08427306546324,12.00131723301042,63.33454442024231
Hubert,1,N0,90.95135384587743,12.049352211842068,64.28739094734192
HubertToken,1,C0,65.20754416947105,16.51707857478205,37.530189037323
HubertToken,1,K0,74.36403727701001,19.15866968722788,37.59055733680725
HubertToken,1,N0,61.244333528355824,15.748144562192447,33.60060143470764
MFCC,1,C0,66.86305239495428,15.109349798096474,6.958679437637329
MFCC,1,K0,58.18528863238257,14.421612494132104,6.802132606506348
MFCC,1,N0,62.959845082044716,15.454108968825704,6.700237989425659
MPM,2,C0,67.70696294191903,12.033926908315406,55.79851341247559
MPM,2,K0,57.6496538370823,10.535812967455028,34.54756832122803
MPM,2,N0,63.49535626691589,11.744563728828227,32.43315529823303
Pitch,2,C0,77.58167365952934,15.130874823496383,11.230889797210692
Pitch,2,K0,58.70758161986546,11.25228911538624,10.789462566375732
Pitch,2,N0,62.35542977311196,11.92769428657702,10.096675395965576
WadaSNR,3,C0,56.78871413711465,5.843670806984302,3.1041762828826904
WadaSNR,3,K0,75.94358581692161,14.945214703256648,3.063260078430176
WadaSNR,3,N0,77.26361036638609,15.298330265453345,2.849489212036133
WeSpeaker,4,C0,46.202950341995034,7.563519949436578,38.69951128959656
WeSpeaker,4,K0,73.31296914680303,14.053286887745095,25.862927436828613
WeSpeaker,4,N0,73.25169839607479,14.031424412805078,23.098504543304443
Allosaurus,5,C0,96.41248962674861,6.233025849843428,57.05992817878723
Allosaurus,5,K0,95.88660650552116,5.776108601664792,55.96297216415405
Allosaurus,5,N0,94.77991825915667,5.128489386195088,52.95793795585632
VoiceFixer,5,C0,92.52894848595841,5.053281537103903,62.228238344192505
VoiceFixer,5,K0,94.07000026806944,4.7519366124140126,58.968209981918335
VoiceFixer,5,N0,95.59512343593283,4.965359512168943,59.28412675857544
Wav2Vec2 WER,6,C0,95.52004602496362,18.71990316873368,25.258917570114136
Wav2Vec2 WER,6,K0,92.93785956978049,18.16444908026685,25.09899425506592
Wav2Vec2 WER,6,N0,93.77981369551544,18.328186733127158,23.20311427116394
Whisper WER,6,C0,92.43010719373785,18.808572993823127,100.26141381263731
Whisper WER,6,K0,92.2277018541542,18.856560941690432,95.47816157341003
Whisper WER,6,N0,92.63948918236099,18.8973933802858,93.3187539577484
Kaldi,7,C0,20.452747951992116,14.238653456683176,4688.053835391998
Kaldi,7,K0,5.810276423598835,2.2576150254428042,302.94446563720703
Kaldi,7,N0,5.350760909260837,2.2580750830573444,307.1822817325592
Kaldi,7,fastpitch_wg,4.580083285279125,2.423187599789038,260.5675473213196
Kaldi,7,fastpitch_wn,4.993304237749246,2.331445819087985,247.3249101638794
Kaldi,7,natural16,37.43185653202729,10.376068314787895,243.46144080162048
Kaldi,7,tacotron_wg,12.667636589493561,4.386111169851311,276.75543236732483
Kaldi,7,tacotron_wn,8.857967251911942,3.4855312297293257,381.8658084869385
